Gadda Da Vida,https://www.tripadvisor.com/Restaurant_Review-g304554-d2084176-Reviews-Gadda_Da_Vida-Mumbai_Bombay_Maharashtra.html,very good service,Great view,,,
Sodabottleopenerwala,https://www.tripadvisor.com/Restaurant_Review-g304554-d8692718-Reviews-Sodabottleopenerwala-Mumbai_Bombay_Maharashtra.html,Place to go for Parsi food,Better places to try Irani food in Mumbai!,,,
Umame,https://www.tripadvisor.com/Restaurant_Review-g304554-d3567479-Reviews-Umame-Mumbai_Bombay_Maharashtra.html,Good food,Authentic Asian Cusine,,,
Barbeque Nation,https://www.tripadvisor.com/Restaurant_Review-g304554-d3843964-Reviews-Barbeque_Nation-Mumbai_Bombay_Maharashtra.html,Best place for grill food,Nice food,,,
Hornby's Pavilion,https://www.tripadvisor.com/Restaurant_Review-g304554-d786941-Reviews-Hornby_s_Pavilion-Mumbai_Bombay_Maharashtra.html,Very Good Buffet,Innovative mango themed Sunday buffet spre...,,,
Jyran,https://www.tripadvisor.com/Restaurant_Review-g304554-d3163674-Reviews-Jyran-Mumbai_Bombay_Maharashtra.html,Enjoyable evening at Jyran,"A great evening of food, ambience and serv...",,,
Mamagoto,https://www.tripadvisor.com/Restaurant_Review-g304554-d4155450-Reviews-Mamagoto-Mumbai_Bombay_Maharashtra.html,Mama-Got-Me !!!,"Great place for dinner, if you get a table...",,,
Quattro Ristorante,https://www.tripadvisor.com/Restaurant_Review-g304554-d2307583-Reviews-Quattro_Ristorante-Mumbai_Bombay_Maharashtra.html,Do keep some space for the desserts!,Just short of wow!!,,,
Seven Kitchens,https://www.tripadvisor.com/Restaurant_Review-g304554-d3799770-Reviews-Seven_Kitchens-Mumbai_Bombay_Maharashtra.html,Amazing Sunday Brunch,Birthday dinner,,,
Melting Pot,https://www.tripadvisor.com/Restaurant_Review-g304554-d2254506-Reviews-Melting_Pot-Mumbai_Bombay_Maharashtra.html,Good food!,Awesome starters in the buffeft,,,
Copper Chimney,https://www.tripadvisor.com/Restaurant_Review-g304554-d3422108-Reviews-Copper_Chimney-Mumbai_Bombay_Maharashtra.html,Great place for lunch,Nice Restaurant,,,
Sammy Sosa,https://www.tripadvisor.com/Restaurant_Review-g304554-d1204592-Reviews-Sammy_Sosa-Mumbai_Bombay_Maharashtra.html,Amazing food and service,Fantastic Mexican food!,,,
Salt Water Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d3389689-Reviews-Salt_Water_Cafe-Mumbai_Bombay_Maharashtra.html,Nice ambience,"Great food, great vibe.",,,
The Barking Deer Brew Pub,https://www.tripadvisor.com/Restaurant_Review-g304554-d4553693-Reviews-The_Barking_Deer_Brew_Pub-Mumbai_Bombay_Maharashtra.html,Loud but Good,"Nice ambiance, decent food",,,
Trattoria,https://www.tripadvisor.com/Restaurant_Review-g304554-d789738-Reviews-Trattoria-Mumbai_Bombay_Maharashtra.html,Could be better,Nice italian food,,,
Prakash Shakahari Upahaar Kendra,https://www.tripadvisor.com/Restaurant_Review-g304554-d6875614-Reviews-Prakash_Shakahari_Upahaar_Kendra-Mumbai_Bombay_Maharashtra.html,Sabundana vada is awesome,Prakash-Genuine Maharashtrain Food,,,
The Sassy Spoon,https://www.tripadvisor.com/Restaurant_Review-g304554-d4036627-Reviews-The_Sassy_Spoon-Mumbai_Bombay_Maharashtra.html,Amazing food and drinks,"Cosy environment, pretty nice food",,,
Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g304554-d801178-Reviews-Hard_Rock_Cafe-Mumbai_Bombay_Maharashtra.html,Good Food and Music,Vodafone U brand launch,,,
Prego,https://www.tripadvisor.com/Restaurant_Review-g304554-d2315462-Reviews-Prego-Mumbai_Bombay_Maharashtra.html,Enjoy real Italian food with nice ambience,Made for Occasion,,,
